,Benchmark,Mean,Median,Best,Worst,STD
0,F1,48.23204336166382,48.270819544792175,47.99144172668457,48.438578367233276,0.1349079777221205
1,F2,47.39879424571991,47.425978779792786,47.23677945137024,47.56760311126709,0.10219531778516702
2,F3,777.5967079162598,753.5546963214874,405.2808976173401,1163.1604981422424,355.85279877956367
3,F4,20.766103005409242,20.639447569847107,20.61032748222351,21.067180395126343,0.17721847360862292
4,F5,44.25826499462128,44.10485911369324,44.04979467391968,44.906612396240234,0.29435909686127204
5,F6,28.70425057411194,28.69681143760681,28.67467164993286,28.764647006988525,0.026166552384376592
6,F7,24.353827810287477,24.350234508514404,24.33477807044983,24.387081384658813,0.014116314316942517
7,F8,20.968852758407593,20.967447519302368,20.950112342834473,20.989188194274902,0.01191989984981742
8,F9,33.17127492427826,33.16007387638092,33.13216423988342,33.221330881118774,0.028249764006888837
9,F10,30.07700695991516,30.078366994857788,30.048912286758423,30.102349281311035,0.01637244862411916
10,F11,30.78407084941864,30.66646635532379,30.627681970596313,31.284531354904175,0.23569050926913898
11,F12,47.32012946605683,47.30532085895538,47.28017449378967,47.48749756813049,0.05834474836581214
12,F13,42.82746269702911,42.85828351974487,42.71597623825073,42.890130281448364,0.05968855854946808
