,Benchmark,Mean,Mean_no_outlier,Median,Best,Worst,STD,,,,,,,,,,,,,,,
0,F1,4.10E+04,,4.10E+04,4.10E+04,4.10E+04,0.00E+00,,,4.10E+04,6.60E+33,2.07E+06,2.02E+01,1.03E+07,4.31E+04,1.60E+05,-2.57E+04,7.51E+09,1.51E+01,3.65E+02,7.20E+07,7.20E+07
1,F2,6.60E+33,,6.60E+33,6.60E+33,6.60E+33,0.00E+00,,,,,2.07E+06,,1.03E+07,,1.82E+02,-2.86E+04,,,3.65E+02,,
2,F3,2.07E+06,2.07E+06,2.07E+06,2.07E+06,2.07E+06,2.33E-10,,,4.10E+04,6.60E+33,2.07E+06,2.02E+01,1.03E+07,4.31E+04,1.82E+02,-2.86E+04,7.51E+09,1.51E+01,3.65E+02,7.20E+07,7.20E+07
3,F4,2.02E+01,,2.02E+01,2.02E+01,2.02E+01,0.00E+00,,,4.10E+04,6.60E+33,2.07E+06,2.02E+01,1.03E+07,4.31E+04,1.82E+02,-2.86E+04,7.51E+09,1.51E+01,3.65E+02,7.20E+07,7.20E+07
4,F5,1.03E+07,1.03E+07,1.03E+07,1.03E+07,1.03E+07,1.86E-09,,,4.10E+04,6.60E+33,2.07E+06,2.02E+01,1.03E+07,4.31E+04,1.60E+06,1.93E+02,7.51E+09,1.51E+01,3.65E+02,7.20E+07,7.20E+07
5,F6,4.31E+04,,4.31E+04,4.31E+04,4.31E+04,0.00E+00,,,0.00E+00,0.00E+00,2.33E-10,0.00E+00,1.86E-09,0.00E+00,4.81E+05,8.63E+03,0.00E+00,0.00E+00,5.68E-14,0.00E+00,0.00E+00
6,F7,1.60E+05,1.82E+02,1.82E+02,1.82E+02,1.60E+06,4.81E+05,,,,,,,,,,,,,,,
7,F8,-2.57E+04,-2.86E+04,-2.86E+04,-2.86E+04,1.93E+02,8.63E+03,,,,,,,,,,,,,,,
8,F9,7.51E+09,,7.51E+09,7.51E+09,7.51E+09,0.00E+00,,,,,,,,,,,,,,,
9,F10,1.51E+01,,1.51E+01,1.51E+01,1.51E+01,0.00E+00,,,,,,,,,,,,,,,
10,F11,3.65E+02,3.65E+02,3.65E+02,3.65E+02,3.65E+02,5.68E-14,,,,,,,,,,,,,,,
11,F12,7.20E+07,,7.20E+07,7.20E+07,7.20E+07,0.00E+00,,,,,,,,,,,,,,,
12,F13,7.20E+07,,7.20E+07,7.20E+07,7.20E+07,0.00E+00,,,,,,,,,,,,,,,
