,Benchmark,Mean,Median,Best,Worst,STD
0,F1,8.350978016853333,8.34449589252472,8.3331778049469,8.395287275314331,0.017470689132862472
1,F2,8.602108788490295,8.601781606674194,8.562398910522461,8.635173559188843,0.017714444918324128
2,F3,21.74678256511688,21.67083775997162,21.642755031585693,22.07463049888611,0.15932998577213547
3,F4,8.321976161003112,8.319667935371399,8.304297685623169,8.349069595336914,0.012653657465238518
4,F5,10.700737357139587,10.697780132293701,10.684342622756958,10.738448858261108,0.014577947708716349
5,F6,9.037801241874694,9.021878480911255,9.003901481628418,9.189082860946655,0.05109967235506873
6,F7,8.38922872543335,8.390315175056458,8.357174396514893,8.418813467025757,0.016965580595360706
7,F8,8.641839122772216,8.620216727256775,8.588387489318848,8.727917432785034,0.04638675567498921
8,F9,9.490809226036072,9.485803246498108,9.468324899673462,9.531119346618652,0.017928007717414932
9,F10,9.613296055793763,9.628955960273743,9.508267402648926,9.6506028175354,0.04243944299628247
10,F11,9.82518298625946,9.865232110023499,9.66145396232605,9.901909351348877,0.08545771082522065
11,F12,10.166028094291686,10.168129324913025,10.127206563949585,10.191909074783325,0.016517581864937226
12,F13,10.03726930618286,10.01868200302124,9.98260498046875,10.209558963775635,0.061928842374001265
