,Benchmark,Mean,Median,Best,Worst,STD
0,F1,0.9255884885787964,0.9206633567810059,0.8992969989776611,0.9639296531677246,0.018431817619319908
1,F2,0.9458870172500611,0.9454429149627686,0.9314098358154297,0.9609553813934326,0.008293528353513678
2,F3,5.614408183097839,4.771629214286804,4.685108423233032,12.005448341369629,2.14447497107262
3,F4,1.1541944980621337,1.0377768278121948,0.9204003810882568,2.3317763805389404,0.4024742176411589
4,F5,4.1973765850067135,4.183141827583313,4.082463026046753,4.319332838058472,0.07250494380358555
5,F6,3.0224834203720095,2.9942644834518433,2.985136032104492,3.1258561611175537,0.04698261994392586
6,F7,2.526218628883362,2.5144360065460205,2.459954023361206,2.661982536315918,0.05741571856501688
7,F8,2.3728914737701414,2.3757405281066895,2.2827041149139404,2.4311888217926025,0.04342572785127037
8,F9,3.583933448791504,3.5866717100143433,3.5285274982452393,3.665579080581665,0.04375945856918622
9,F10,3.3325772523880004,3.3209402561187744,3.262939214706421,3.4313721656799316,0.05296287987164964
10,F11,3.412745141983032,3.3596705198287964,3.2780914306640625,3.638441801071167,0.12744067756214217
11,F12,3.8434141159057615,3.8403804302215576,3.817239761352539,3.862090587615967,0.014473448075934732
12,F13,3.691674304008484,3.692154288291931,3.67769718170166,3.711599111557007,0.009480290665457356
