,Benchmark,Mean,Median,Best,Worst,STD
0,F1,18.173938727378847,18.180936813354492,18.095654010772705,18.244235038757324,0.03999103842569014
1,F2,19.491253662109376,19.485578298568726,19.441102027893066,19.5825355052948,0.03917744629430885
2,F3,121.88111433982849,122.27498400211334,120.06661677360535,122.57392621040344,0.8144238499983685
3,F4,17.576647996902466,17.580557465553284,17.54040503501892,17.60344171524048,0.020355851120396177
4,F5,35.82222249507904,35.870760798454285,35.61158561706543,35.919936656951904,0.10971071968118762
5,F6,24.07897491455078,24.076650023460388,24.057276487350464,24.109872341156006,0.018970684321964342
6,F7,19.785325241088866,19.789560914039612,19.751128911972046,19.81415057182312,0.022931775550365126
7,F8,18.376370239257813,18.38304078578949,18.30409574508667,18.412805318832397,0.03462225786146725
8,F9,28.92364959716797,28.937378764152527,28.832709074020386,29.00602674484253,0.0487420214288705
9,F10,27.70050437450409,27.69416916370392,27.642913818359375,27.795441150665283,0.045293939119080855
10,F11,28.83442349433899,28.832295656204224,28.806008100509644,28.85711097717285,0.016173887396059374
11,F12,33.929732418060304,33.93009614944458,33.902082681655884,33.95878767967224,0.015530554381224545
12,F13,32.792052030563354,32.806957960128784,32.692811012268066,32.83147597312927,0.04133886347454507
